Epoch,loss,val_loss
1,21.871700286865234,9.891740798950195
2,10.66597843170166,9.864029884338379
3,10.621051788330078,9.810667037963867
4,10.544082641601562,9.712801933288574
5,10.434370040893555,9.582529067993164
6,10.271944046020508,9.330023765563965
7,9.931785583496094,8.986702919006348
8,9.74165153503418,8.943970680236816
9,9.740084648132324,8.946768760681152
10,9.65091323852539,8.800409317016602
11,9.535523414611816,8.913036346435547
12,9.489017486572266,8.713970184326172
13,9.439061164855957,8.782448768615723
14,9.426017761230469,8.802480697631836
15,9.329689979553223,8.817720413208008
16,9.393742561340332,8.679418563842773
17,9.351046562194824,8.906835556030273
18,9.345349311828613,8.809269905090332
19,9.216863632202148,8.86290168762207
20,9.210514068603516,8.741179466247559
21,9.174077033996582,8.73549747467041
22,9.120195388793945,8.865056991577148
23,9.1577787399292,8.734036445617676
24,9.049520492553711,8.856444358825684
25,8.809922218322754,8.799044609069824
