Epoch,loss,val_loss
1,36.128334045410156,23.512535095214844
2,21.177444458007812,18.996341705322266
3,17.987010955810547,16.570369720458984
4,16.10617446899414,15.038108825683594
5,14.878372192382812,13.945566177368164
6,14.003124237060547,13.190923690795898
7,13.376142501831055,12.5822114944458
8,12.890312194824219,12.137779235839844
9,12.517240524291992,11.796204566955566
10,12.224828720092773,11.494109153747559
11,11.977402687072754,11.263090133666992
12,11.780138969421387,11.066546440124512
13,11.614649772644043,10.898285865783691
14,11.475117683410645,10.764638900756836
15,11.36104965209961,10.640647888183594
16,11.261573791503906,10.536249160766602
17,11.177486419677734,10.449378967285156
18,11.107979774475098,10.369340896606445
19,11.04448413848877,10.303865432739258
20,10.990817070007324,10.252408027648926
21,10.945601463317871,10.199070930480957
22,10.906624794006348,10.155669212341309
23,10.871989250183105,10.111735343933105
24,10.83934497833252,10.082269668579102
25,10.8134765625,10.051443099975586
26,10.789657592773438,10.020787239074707
27,10.767765998840332,9.997550964355469
28,10.749235153198242,9.974167823791504
29,10.732297897338867,9.955333709716797
30,10.71921157836914,9.934088706970215
31,10.704697608947754,9.922982215881348
32,10.692511558532715,9.90716552734375
33,10.681382179260254,9.892278671264648
34,10.67204761505127,9.878935813903809
35,10.66172981262207,9.869124412536621
36,10.653528213500977,9.858664512634277
37,10.645021438598633,9.850037574768066
38,10.638328552246094,9.838598251342773
39,10.630655288696289,9.831137657165527
40,10.624039649963379,9.823920249938965
41,10.617267608642578,9.815875053405762
42,10.610736846923828,9.809520721435547
43,10.60425853729248,9.80202579498291
44,10.59749984741211,9.79305362701416
45,10.59125804901123,9.785783767700195
46,10.584952354431152,9.778999328613281
47,10.57904052734375,9.771639823913574
48,10.572426795959473,9.765414237976074
49,10.566649436950684,9.75853157043457
50,10.560153007507324,9.75343132019043
