Epoch,loss,val_loss,accuracy,val_accuracy
1,137.96104431152344,2.585327625274658,0.2928902506828308,0.3105590045452118
2,1.9319298267364502,1.8088080883026123,0.3624420464038849,0.35403725504875183
3,1.3555748462677002,1.7960940599441528,0.4690881073474884,0.38509318232536316
4,1.109994649887085,1.7932555675506592,0.5865533351898193,0.3478260934352875
5,0.9332252740859985,1.8320029973983765,0.6792890429496765,0.39751553535461426
6,0.79245924949646,1.8561246395111084,0.7596599459648132,0.3664596378803253
7,0.6684127449989319,1.9290796518325806,0.8037094473838806,0.34161490201950073
8,0.5604883432388306,1.9772037267684937,0.8508501052856445,0.40993788838386536
9,0.4625631272792816,2.0478200912475586,0.8879443407058716,0.38509318232536316
10,0.38103312253952026,2.106557607650757,0.9173106551170349,0.34161490201950073
11,0.3098781108856201,2.2016801834106445,0.9358578324317932,0.35403725504875183
12,0.2512702941894531,2.38228702545166,0.9513137340545654,0.38509318232536316
13,0.20589444041252136,2.421194553375244,0.9636785387992859,0.34161490201950073
14,0.1679525375366211,2.5611894130706787,0.9760432839393616,0.34161490201950073
15,0.13690251111984253,2.744772434234619,0.9822256565093994,0.3354037404060364
16,0.11360091716051102,2.883213520050049,0.9860896468162537,0.3664596378803253
17,0.09175921231508255,3.0090060234069824,0.9884080290794373,0.32919254899024963
18,0.07661159336566925,3.145540714263916,0.9914992451667786,0.35403725504875183
19,0.06338745355606079,3.2054283618927,0.9953632354736328,0.3478260934352875
20,0.05348128452897072,3.3809962272644043,0.9976816177368164,0.3664596378803253
21,0.04486513510346413,3.539618730545044,0.9984543919563293,0.3602484464645386
22,0.03807004541158676,3.623319149017334,0.9992272257804871,0.3478260934352875
23,0.03247606381773949,3.645406484603882,0.9992272257804871,0.3354037404060364
24,0.027172241359949112,3.8773488998413086,0.9992272257804871,0.3478260934352875
25,0.023240529000759125,4.023190021514893,0.9992272257804871,0.3602484464645386
26,0.019653111696243286,4.049808979034424,1.0,0.34161490201950073
27,0.016833923757076263,4.148447513580322,0.9992272257804871,0.31677019596099854
28,0.0147899454459548,4.2292280197143555,1.0,0.3354037404060364
29,0.012676054611802101,4.389768123626709,1.0,0.3354037404060364
30,0.010758691467344761,4.430074691772461,1.0,0.32919254899024963
