Epoch,loss,val_loss
1,22.061824798583984,11.58489990234375
2,11.142884254455566,10.048794746398926
3,10.653064727783203,9.839395523071289
4,10.593716621398926,9.790108680725098
5,10.558980941772461,9.755106925964355
6,10.522201538085938,9.72789192199707
7,10.47985553741455,9.68018913269043
8,10.425971031188965,9.605217933654785
9,10.340014457702637,9.529448509216309
10,10.235703468322754,9.401803016662598
11,10.097291946411133,9.23438549041748
12,9.912118911743164,9.041342735290527
13,9.750401496887207,8.971282005310059
14,9.682656288146973,9.0150146484375
15,9.625697135925293,8.904755592346191
16,9.616958618164062,8.895702362060547
17,9.493532180786133,8.80246639251709
18,9.435011863708496,8.80183219909668
19,9.450704574584961,8.807088851928711
20,9.381743431091309,8.706899642944336
21,9.308808326721191,8.701654434204102
22,9.330056190490723,8.719303131103516
23,9.309266090393066,8.764026641845703
24,9.25184440612793,8.68319034576416
25,9.232024192810059,8.694171905517578
26,9.173933029174805,8.689133644104004
27,9.176050186157227,8.661101341247559
28,9.095039367675781,8.632492065429688
29,9.059608459472656,8.702705383300781
30,9.046070098876953,8.637484550476074
